Store_Number,Network_Segment,Webpos_Env,EFT,Location,RF_Server,Cashtill_Seg_GW
909,10.5.173.0,pr,ICBC,CN,10.69.99.212,10.69.7.161
912,10.5.172.0,pr,ICBC,CN,10.69.99.244,10.69.7.225
914,10.5.161.0,pr,JH,CN,10.69.100.4,10.69.8.1
918,10.5.160.0,pr,GMC,CN,10.69.100.36,10.69.8.65
919,10.5.158.0,pr,GMC,CN,10.69.100.52,10.69.8.97
921,10.5.151.0,pr,GMC,CN,10.69.100.84,10.69.8.161
922,10.5.143.0,pr,ICBC,CN,10.69.100.100,10.69.8.193
923,10.5.156.0,pr,ICBC,CN,10.69.100.116,10.69.8.225
924,10.5.157.0,pr,ICBC,CN,10.69.100.132,10.69.9.1
925,10.5.231.0,pr,GMC,CN,10.69.100.148,10.69.9.33
929,10.5.147.0,pr,ICBC,CN,10.69.100.180,10.69.9.97
930,10.5.168.0,pr,ICBC,CN,10.69.100.196,10.69.9.129
942,10.5.152.0,pr,ICBC,CN,10.69.100.228,10.69.9.193
947,10.5.106.0,pr,GMC,CN,10.69.100.244,10.69.9.225
949,10.5.118.0,pr,ICBC,CN,10.69.101.4,10.69.10.1
950,10.5.154.0,pr,ICBC,CN,10.69.101.20,10.69.10.33
951,10.5.149.0,pr,ICBC,CN,10.69.101.36,10.69.10.65
953,10.5.181.0,pr,ICBC,CN,10.69.101.52,10.69.10.97
955,10.5.171.0,pr,ICBC,CN,10.69.101.68,10.69.10.129
958,10.5.177.0,pr,ICBC,CN,10.69.101.84,10.69.10.161
961,10.5.138.0,pr,ICBC,CN,10.69.101.116,10.69.10.225
962,10.5.134.0,pr,GMC,CN,10.69.101.132,10.69.11.1
963,10.5.137.0,pr,ICBC,CN,10.69.101.148,10.69.11.33
966,10.5.136.0,pr,GMC,CN,10.69.101.164,10.69.11.65
968,10.5.121.0,pr,ICBC,CN,10.69.101.180,10.69.11.97
972,10.5.127.0,pr,ICBC,CN,10.69.101.196,10.69.11.129
973,10.5.128.0,pr,ICBC,CN,10.69.101.212,10.69.11.161
987,10.5.145.0,pr,ICBC,CN,10.69.101.228,10.69.11.193
989,10.5.126.0,pr,GMC,CN,10.69.101.244,10.69.11.225
990,10.5.142.0,pr,JH,CN,10.69.102.4,10.69.12.1
991,10.5.148.0,pr,ICBC,CN,10.69.102.20,10.69.12.33
994,10.5.123.0,pr,ICBC,CN,10.69.102.52,10.69.12.97
995,10.5.233.0,pr,ICBC,CN,10.69.102.68,10.69.12.129
999,10.5.135.0,pr,ICBC,CN,10.69.102.84,10.69.12.161
1018,10.5.132.0,pr,ICBC,CN,10.69.102.100,10.69.12.193
1020,10.5.110.0,pr,ICBC,CN,10.69.102.116,10.69.12.225
1021,10.5.75.0,pr,ICBC,CN,10.69.102.132,10.69.13.1
1023,10.5.115.0,pr,ICBC,CN,10.69.102.148,10.69.13.33
1026,10.5.122.0,pr,ICBC,CN,10.69.102.164,10.69.13.65
1027,10.5.109.0,pr,ICBC,CN,10.69.102.180,10.69.13.97
1029,10.6.234.0,pr,ICBC,CN,10.69.102.196,10.69.13.129
1030,10.5.114.0,pr,ICBC,CN,10.69.102.212,10.69.13.161
1032,10.5.117.0,pr,ICBC,CN,10.69.102.228,10.69.13.193
1203,10.5.107.0,pr,ICBC,CN,10.69.102.244,10.69.13.225
1204,10.5.79.0,pr,ICBC,CN,10.69.103.4,10.69.14.1
1207,10.5.111.0,pr,ICBC,CN,10.69.103.20,10.69.14.33
1212,10.5.102.0,pr,JH,CN,10.69.103.36,10.69.14.65
1216,10.6.213.0,pr,ICBC,CN,10.69.103.52,10.69.14.97
1221,10.5.104.0,pr,ICBC,CN,10.69.103.84,10.69.14.161
1225,10.5.78.0,pr,ICBC,CN,10.69.103.100,10.69.14.193
1226,10.5.97.0,pr,ICBC,CN,10.69.103.116,10.69.14.225
1231,10.5.98.0,pr,ICBC,CN,10.69.126.116,10.69.61.1
1232,10.5.91.0,pr,ICBC,CN,10.69.103.148,10.69.15.33
1234,10.5.100.0,pr,ICBC,CN,10.69.103.164,10.69.15.65
1763,10.6.116.0,pr,ICBC,CN,10.69.108.36,10.69.24.65
1249,10.6.176.0,pr,ICBC,CN,10.69.103.212,10.69.15.161
1250,10.6.241.0,pr,ICBC,CN,10.69.103.228,10.69.15.193
1254,10.6.225.0,pr,ICBC,CN,10.69.104.4,10.69.16.1
1256,10.5.77.0,pr,ICBC,CN,10.69.104.20,10.69.16.33
1258,10.5.85.0,pr,ICBC,CN,10.69.104.36,10.69.16.65
1260,10.6.228.0,pr,ICBC,CN,10.69.104.52,10.69.16.97
1261,10.6.227.0,pr,ICBC,CN,10.69.104.68,10.69.16.129
1265,10.6.231.0,pr,ICBC,CN,10.69.104.100,10.69.16.193
1266,10.5.89.0,pr,ICBC,CN,10.69.104.116,10.69.16.225
1267,10.6.232.0,pr,ICBC,CN,10.69.104.132,10.69.17.1
1271,10.6.163.0,pr,ICBC,CN,10.69.104.148,10.69.17.33
1275,10.6.195.0,pr,ICBC,CN,10.69.104.164,10.69.17.65
1276,10.6.194.0,pr,ICBC,CN,10.69.104.180,10.69.17.97
1277,10.6.216.0,pr,GMC,CN,10.69.104.196,10.69.17.129
1281,10.6.236.0,pr,ICBC,CN,10.69.104.212,10.69.17.161
1285,10.6.242.0,pr,ICBC,CN,10.69.104.228,10.69.17.193
1287,10.5.80.0,pr,ICBC,CN,10.69.104.244,10.69.17.225
1288,10.5.99.0,pr,ICBC,CN,10.69.105.4,10.69.18.1
1289,10.6.240.0,pr,ICBC,CN,10.69.105.20,10.69.18.33
1291,10.6.210.0,pr,ICBC,CN,10.69.105.36,10.69.18.65
1293,10.6.226.0,pr,JH,CN,10.69.105.52,10.69.18.97
1296,10.6.249.0,pr,ICBC,CN,10.69.105.68,10.69.18.129
1297,10.6.238.0,pr,ICBC,CN,10.69.105.84,10.69.18.161
1299,10.5.81.0,pr,ICBC,CN,10.69.105.100,10.69.18.193
1621,10.6.212.0,pr,ICBC,CN,10.69.105.116,10.69.18.225
1625,10.6.162.0,pr,ICBC,CN,10.69.105.148,10.69.19.33
1628,10.6.207.0,pr,ICBC,CN,10.69.105.180,10.69.19.97
1630,10.6.193.0,pr,ICBC,CN,10.69.105.196,10.69.19.129
1632,10.6.188.0,pr,ICBC,CN,10.69.105.212,10.69.19.161
1636,10.6.180.0,pr,ICBC,CN,10.69.105.228,10.69.19.193
1650,10.6.169.0,pr,ICBC,CN,10.69.106.4,10.69.20.1
1655,10.6.184.0,pr,ICBC,CN,10.69.106.20,10.69.20.33
1656,10.6.177.0,pu,GMC,CN,10.69.106.36,10.69.20.65
1660,10.6.199.0,pr,GMC,CN,10.69.106.52,10.69.20.97
1661,10.6.196.0,pr,JH,CN,10.69.106.68,10.69.20.129
1663,10.6.198.0,pr,ICBC,CN,10.69.106.84,10.69.20.161
1666,10.6.191.0,pr,ICBC,CN,10.69.106.100,10.69.20.193
1667,10.6.192.0,pr,GMC,CN,10.69.106.116,10.69.20.225
1670,10.6.171.0,pr,ICBC,CN,10.69.106.132,10.69.21.1
1676,10.6.178.0,pr,ICBC,CN,10.69.106.164,10.69.21.65
1677,10.6.168.0,pr,ICBC,CN,10.69.106.180,10.69.21.97
1682,10.6.172.0,pr,ICBC,CN,10.69.106.196,10.69.21.129
1683,10.6.185.0,pr,ICBC,CN,10.69.106.212,10.69.21.161
1685,10.6.179.0,pr,ICBC,CN,10.69.106.228,10.69.21.193
1686,10.6.200.0,pr,ICBC,CN,10.69.106.244,10.69.21.225
1687,10.6.189.0,pr,ICBC,CN,10.69.107.4,10.69.22.1
1768,10.6.165.0,pr,ICBC,CN,10.69.108.68,10.69.24.129
1777,10.6.161.0,pr,ICBC,CN,10.69.108.148,10.69.25.33
969,10.17.253.0,pr,NETS,SG,10.17.52.212,10.17.56.209
2128,10.17.249.0,pr,NETS,SG,10.17.53.36,10.17.57.33
1708,10.13.253.0,pr,BCA,ID,10.13.10.20,10.13.12.17
1957,10.13.252.0,pr,BCA,ID,10.13.10.36,10.13.12.33
1987,10.13.251.0,pr,BCA,ID,10.13.10.36,10.13.12.33
2345,10.136.253.0,pu,ICBC,JP,,
2346,10.136.252.0,pu,ICBC,JP,,
1767,10.6.122.0,pu,GMC,CN,10.69.108.52,10.69.24.97
1789,10.18.252.0,pr,QUEST,AU,10.18.10.4,10.18.12.1
1791,10.18.251.0,pr,QUEST,AU,10.18.10.20,10.18.12.65
1637,10.6.157.0,pr,ICBC,CN,10.69.105.244,10.69.19.225
1671,10.6.154.0,pr,JH,CN,10.69.106.148,10.69.21.33
666,10.0.253.0,pr,Taishin,TW,10.0.53.244,10.0.59.225
2350,10.1.251.0,pu,Ayden,HK,10.1.26.52,10.1.28.49
1600,10.14.253.0,pr,UOB,MY,10.14.56.20,10.14.52.1
2386,10.20.251.0,pu,ICBC,VN,10.20.52.132,10.20.57.1
1884,10.16.253.0,pr,ICBC,KH,10.16.14.4,10.16.10.1
1516,10.29.253.0,pr,ICBC,PH,10.29.20.4,10.29.24.1
1035,10.10.5.0,pr,None,TH,10.10.56.4,10.10.52.1
1759,10.6.119.0,pu,ICBC,CN,10.69.108.4,10.69.24.1
1770,10.6.120.0,pu,ICBC,CN,10.69.108.84,10.69.24.161
1716,10.6.114.0,pu,ICBC,CN,10.69.107.132,10.69.23.1
1757,10.6.123.0,pr,ICBC,CN,10.69.107.228,10.69.23.193
1034,10.17.252.0,pr,NETS,SG,10.17.52.228,10.17.56.225
1871,10.17.251.0,pr,NETS,SG,10.17.52.244,10.17.56.241
2459,10.17.243.0,pr,NETS,SG,10.17.53.4,10.17.57.1
1719,10.6.144.0,pr,ICBC,CN,10.69.107.164,10.69.23.65
1627,10.6.160.0,pr,ICBC,CN,10.69.105.164,10.69.19.65
2388,10.20.252.0,pr,ICBC,VN,10.20.52.20,10.20.56.33
1726,10.6.150.0,pr,ICBC,CN,10.69.107.196,10.69.23.129
1707,10.6.155.0,pr,ICBC,CN,10.69.107.68,10.69.22.129
1706,10.6.139.0,pr,GMC,CN,10.69.107.52,10.69.22.97
1761,10.6.121.0,pr,ICBC,CN,10.69.108.20,10.69.24.33
1292,10.0.240.0,pr,Taishin,TW,10.0.53.116,10.0.58.225
1753,10.6.128.0,pr,ICBC,CN,10.69.107.212,10.69.23.161
1703,10.6.141.0,pr,ICBC,CN,10.69.107.36,10.69.22.65
1681,10.0.239.0,pr,Taishin,TW,10.0.53.68,10.0.58.129
871,10.0.252.0,pr,Taishin,TW,10.0.53.228,10.0.59.193
926,10.0.247.0,pr,Taishin,TW,10.0.53.212,10.0.59.161
928,10.0.248.0,pr,Taishin,TW,10.0.53.196,10.0.59.129
988,10.0.250.0,pr,Taishin,TW,10.0.53.180,10.0.59.97
1222,10.0.246.0,pr,Taishin,TW,10.0.53.164,10.0.59.65
1223,10.0.245.0,pr,Taishin,TW,10.0.53.148,10.0.59.33
1229,10.0.244.0,pr,Taishin,TW,10.0.53.132,10.0.59.1
1633,10.0.243.0,pr,Taishin,TW,10.0.53.100,10.0.58.193
1639,10.0.242.0,pr,Taishin,TW,10.0.53.84,10.0.58.161
1762,10.0.237.0,pr,Taishin,TW,10.0.53.52,10.0.58.97
1766,10.0.238.0,pu,Taishin,TW,10.0.53.36,10.0.58.65
1769,10.0.235.0,pr,Taishin,TW,10.0.53.20,10.0.58.33
1772,10.0.236.0,pr,Taishin,TW,10.0.53.4,10.0.58.1
1758,10.6.124.0,pr,ICBC,CN,10.69.107.244,10.69.23.225
1614,10.1.253.0,pr,Ayden,HK,10.1.26.164,10.1.28.161
1866,10.1.250.0,pu,Ayden,HK,10.1.26.148,10.1.28.145
1867,10.1.249.0,pu,Ayden,HK,10.1.26.132,10.1.28.129
1618,10.1.252.0,pr,ayden,HK,10.1.26.20,10.1.28.17
1780,10.6.110.0,pr,ICBC,CN,10.69.108.180,10.69.25.97
2461,10.15.252.0,pu,None,KR,10.15.53.84,10.15.58.161
1710,10.6.149.0,pr,ICBC,CN,10.69.107.84,10.69.22.161
1718,10.6.156.0,pr,ICBC,CN,10.69.107.148,10.69.23.33
2114,10.15.251.0,pu,None,KR,10.15.53.244,10.15.59.225
1711,10.6.134.0,pr,ICBC,CN,10.69.107.100,10.69.22.193
2000,10.14.251.0,pr,UOB,MY,10.14.56.52,10.14.52.33
2002,10.14.250.0,pr,UOB,MY,,
2003,10.14.249.0,pu,UOB,MY,10.14.56.68,10.14.52.49
1999,10.14.252.0,pr,UOB,MY,,
2007,10.14.248.0,pu,UOB,MY,10.14.56.116,10.14.52.97
1092,10.10.8.0,pr,None,TH,,
2355,10.10.14.0,pu,None,TH,10.10.56.196,10.10.52.177
1412,10.10.253.0,pr,None,TH,10.10.56.100,10.10.52.97
1514,10.10.251.0,pr,None,TH,10.10.56.132,10.10.52.129
1090,10.10.6.0,pr,None,TH,10.10.56.20,10.10.52.17
1091,10.10.7.0,pr,None,TH,10.10.56.36,10.10.52.33
1411,10.10.252.0,pr,None,TH,10.10.56.84,10.10.52.81
1955,10.10.249.0,pr,None,TH,10.10.56.148,10.10.52.145
1413,10.10.250.0,pr,None,TH,10.10.56.116,10.10.52.113
1093,10.10.9.0,pr,None,TH,10.10.56.68,10.10.52.65
1778,10.6.107.0,pr,ICBC,CN,10.69.108.164,10.69.25.65
2352,10.10.11.0,pr,None,TH,10.10.56.164,10.10.52.161
1792,10.18.250.0,pr,QUEST,AU,10.18.10.36,10.18.12.97
1773,10.6.112.0,pr,GMC,CN,10.69.108.116,10.69.24.225
1863,10.16.252.0,pu,None,KH,10.16.14.68,10.16.10.65
787,10.170.239.0,pu,erlc,NC,10.170.107.132,10.170.106.1
1790,10.18.248.0,pr,QUEST,AU,10.18.10.164,10.18.12.33
2354,10.10.247.0,pr,None,TH,10.10.56.180,10.10.53.49
2368,10.13.248.0,pr,BCA,ID,10.13.10.100,10.13.12.97
2736,10.1.248.0,pr,Ayden,HK,10.1.26.116,10.1.28.113
2650,10.1.247.0,pr,Ayden,HK,10.1.26.36,10.1.28.33
2697,10.20.248.0,pu,none,VN,10.20.52.36,10.20.56.65
992,10.5.146.0,pr,ICBC,CN,10.69.102.36,10.69.12.65
2126,10.29.250.0,pu,null,PH,10.29.20.36,10.29.24.65
1779,10.0.234.0,pr,Taishin,TW,10.0.52.244,10.0.57.225
2834,10.6.102.0,pu,ICBC,CN,10.69.108.196,10.69.25.129
2843,10.6.101.0,pr,ICBC,CN,10.69.108.212,10.69.25.161
2856,10.6.100.0,pr,ICBC,CN,10.69.108.228,10.69.25.193
2855,10.0.233.0,pr,Taishin,TW,10.0.52.228,10.0.57.193
2737,10.1.246.0,pr,Ayden,HK,10.1.26.100,10.1.28.97
910,10.5.179.0,pr,ICBC,CN,10.69.99.228,10.69.7.193
1252,10.6.233.0,pr,GMC,CN,10.69.103.244,10.69.15.225
2367,10.13.249.0,pr,BCA,ID,10.13.10.84,10.13.12.81
2919,10.16.250.0,pr,ICBC,KH,10.16.14.100,10.16.10.97
2733,10.17.241.0,pr,-,SG,10.17.53.20,10.17.57.65
2888,10.6.97.0,pu,GMC,CN,10.69.109.20,10.69.26.33
2835,10.29.247.0,pr,BDO,PH,10.29.20.52,10.29.24.81
2859,10.14.247.0,pu,UOB,MY,10.14.56.148,10.14.52.129
2867,10.0.232.0,pr,Taishin,TW,10.0.52.212,10.0.57.161
2836,10.29.246.0,pr,BDO,PH,10.29.20.68,10.29.24.97
2858,10.6.94.0,pr,ICBC,CN,10.69.108.244,10.69.25.225
2881,10.18.245.0,pr,QUEST,AU,10.18.10.164,10.18.12.33
2005,10.14.245.0,pu,UOB,MY,10.14.56.84,10.14.52.65
2369,10.13.247.0,pr,BCA,ID,10.13.10.4,10.13.12.1
2115,10.15.249.0,pu,None,KR,10.15.53.228,10.15.59.193
2983,10.14.246.0,pu,UOB,MY,10.14.56.180,10.14.52.161
2864,10.6.93.0,pu,ICBC,CN,10.69.109.4,10.69.26.1
2006,10.14.244.0,pu,UOB,MY,,
1986,10.29.251.0,pr,EPAS,PH,10.29.20.20,10.29.24.33
3017,10.20.246.0,pr,same as 2697,VN,10.20.52.52,10.20.56.97
2922,10.14.241.0,pu,UOB,MY,10.14.56.164,10.14.52.145
2966,10.6.125.0,pr,ICBC,CN,10.69.109.36,10.69.26.65
2837,10.29.245.0,pr,BDO,PH,10.29.20.84,10.29.24.113
2839,10.170.228.0,pr,BCA,ID,10.13.10.116,10.13.12.113
3018,10.14.242.0,pu,UOB,MY,10.14.56.196,10.14.52.177
2840, 10.170.3.0,pr,BCA,ID,10.13.10.132,10.13.12.129
3019,10.14.243.0,pu,UOB,MY,10.14.56.212,10.14.52.193
2920,10.16.249.0,pr,None,KH,10.16.14.36,10.16.10.33
2793,10.14.240.0,pu,UOB,MY,10.14.56.132,10.14.52.113
3062,10.29.244.0,pr,BDO,PH,10.29.20.116,10.29.24.145
3128,10.14.239.0,pu,UOB,MY,10.14.56.228,10.14.52.209
3149,10.18.244.0,pr,Quest,AU,10.18.10.68,10.18.12.161
2838,10.29.243.0,pr,EPAS ,PH,10.29.20.100,10.29.24.129
3100,10.20.9.0,pr,same 3017,VN,10.20.52.84,10.20.56.161
3088,10.20.245.0,pr,same as 3100,VN,10.20.52.68,10.20.56.129
2356,10.10.15.0,pu,https://drive.google.com/file/d/1-QigG9UnTN-6,TH,10.10.56.244,10.10.52.209
3090,10.6.145.0,pr,ICBC,CN,10.69.99.36,10.69.6.65
3091,10.6.88.0,pr,ICBC,CN,10.69.99.52,10.69.6.97
2669,10.1.0.0,pr,BBPOS,HK,10.1.26.196,10.1.28.193
3063,10.29.242.0,pr,BDO,PH,10.29.20.132,10.29.24.161
3155,10.20.8.0,pr,Ingenico,VN,10.20.52.100,10.20.56.193
3170,10.14.237.0,pu,UOB,MY,10.14.57.20,10.14.53.1
3181,10.6.89.0,pr,ICBC,CN,10.69.115.164,10.69.39.65
3208,10.18.242.0,pr,Adyen,AU,10.18.10.84,10.18.12.193
3171,10.14.234.0,pu,UOB,MY,10.14.57.36,10.14.53.17
3139,10.170.16.0,pu,ERLC,PF,10.170.155.4,10.170.154.129
3166,10.14.235.0,pu,UOB,MY,10.14.56.244,10.14.52.225
2962,10.10.21.0,pr,NONE,TH,10.10.57.84,10.10.53.1
3065,10.29.241.0,pr,BDO,PH,10.29.20.164,10.29.24.193
2964,10.10.23.0,pr,https://drive.google.com/drive/folders/1yrP7Y,TH,10.10.57.100,10.10.53.9
3179,10.6.174.0,pr,ICBC,CN,10.69.99.84,10.69.6.161
3249,10.18.0.0,pr,Adyen,AU,,
3246,10.18.249.0,pr,Adyen,AU,,
2963,10.10.22.0,pr,https://drive.google.com/drive/folders/1yrP7Y,TH,10.10.57.116,10.10.53.17
3178,,pr,ICBC,CN,10.69.99.68,10.69.6.129
3252,10.20.10.0,pr,same 3017,VN,10.20.52.116,10.20.56.225
2841,10.13.245.0,pr,BCA,ID,10.13.10.148,10.13.12.145
2366,10.13.16.0,pr,BCA,ID,10.13.10.68,10.13.12.65
3089,3089,pr,ICBC,CN,10.69.109.68,10.69.26.129
3239,3239,pr,ICBC,CN,10.69.109.52,10.69.26.97
3167,10.14.236.0,pu,UOB,MY,10.14.57.4,10.14.52.241
2117,10.15.247.0,pr,None,KR,10.15.53.212,10.15.59.161
2351,10.10.248.0,pr,BBL,TH,10.10.56.212,10.10.52.193
2353,10.10.245.0,pu,BBL,TH,10.10.56.228,10.10.52.201
2651,10.10.16.0,pu,BBL,TH,10.10.57.4,10.10.52.217
2652,10.10.246.0,pu,BBL,TH,10.10.57.20,10.10.52.225
2653,10.10.244.0,pu,BBL,TH,10.10.57.36,10.10.52.233
2959,10.10.243.0,pu,BBL,TH,10.10.57.52,10.10.52.241
2960,10.10.19.0,pu,BBL,TH,10.10.57.68,10.10.52.249
3258,3258,pr,ICBC,CN,10.69.109.84,10.69.26.161
3177,3177,pr,ICBC,CN,10.69.100.20,10.69.8.33
3233,3233,pr,ICBC,CN,10.69.109.100,10.69.26.193
3172,10.14.232.0,pr,UOB,MY,10.14.57.52,10.14.53.33
3266,10.14.233.0,pr,UOB,MY,10.14.57.68,10.14.53.49
3268,10.18.243.0,pr,ADYEN,AU,10.18.10.148,10.18.13.65
2118,10.15.246.0,pr,None,KR,10.15.53.196,10.15.59.129
3260,10.17.238.0,pr,NETS,SG,10.17.52.148,10.17.56.145
3302,10.17.236.0,pr,NETS,SG,,
3309,10.20.244.0,pr,Ingenico,VN,10.20.52.4,10.20.56.1
3234,10.29.238.0,pr,BDO,PH,10.29.20.4,10.29.24.177
3236,10.29.239.0,pr,BDO,PH,10.29.20.4,10.29.24.185
3064,10.29.240.0,pr,BDO,PH,10.29.20.4,10.29.24.137
3295,10.29.237.0,pr,BDO,PH,10.29.20.4,10.29.24.225
1979,10.17.250.0,pu,NETS,SG,10.17.52.4,10.17.56.1
1992,10.17.248.0,pr,NETS,SG,10.17.52.20,10.17.56.17
2220,10.17.247.0,pr,NETS,SG,10.17.52.36,10.17.56.33
2221,10.17.246.0,pr,NETS,SG,10.17.52.52,10.17.56.49
2476,10.17.245.0,pr,NETS,SG,10.17.52.68,10.17.56.65
2477,10.17.244.0,pr,NETS,SG,10.17.52.84,10.17.56.81
2478,10.17.242.0,pr,NETS,SG,10.17.52.100,10.17.56.97
2734,10.17.240.0,pr,NETS,SG,10.17.52.116,10.17.56.113
2780,10.17.239.0,pr,NETS,SG,10.17.52.132,10.17.56.129
3262,10.17.237.0,pr,NETS,SG,10.17.52.164,10.17.56.161
3247,10.18.246.0,pr,Adyen,AU,10.18.10.116,10.18.13.1
3237,3237,pr,ICBC,CN,10.69.127.212,10.69.63.161
3313,3313,pr,ICBC,CN,10.69.127.196,10.69.63.129
3311,3311,pr,ICBC,CN,10.69.127.180,10.69.63.97
3312,3312,pr,ICBC,CN,10.69.127.164,10.69.63.65
2965,10.10.4.0,pr,BBL,TH,10.10.57.132,10.10.53.25
3323,10.10.3.0,pr,BBL,TH,10.10.57.148,10.10.53.33
2842,10.13.246.0,pr,BCA,ID,10.13.10.164,10.13.12.161
3308,3308,pr,AMBANK,MY,10.14.57.116,10.14.53.97
3328,10.17.235.0,pr,NETS,SG,10.17.52.180,10.17.56.177
3255,10.15.19.0,pr,None,KR,10.15.53.132,10.15.59.1
3307,3307,pr,UOB,MY,10.14.57.100,10.14.53.81
3256,10.15.20.0,pr,none,KR,10.15.60.188,10.15.58.225
3324,10.10.12.0,pr,BBL,TH,10.10.57.164,10.10.52.169
3333,3333,pr,ICBC,CN,10.69.127.132,10.69.63.1
3254,10.15.18.0,pr,none,KR,10.15.52.244,10.15.57.225
3253,10.15.17.0,pr,no,KR,10.15.53.164,10.15.59.65
2869,2869,pu,CBS,NC,10.170.107.148,10.170.106.17
3248,3248,pr,ADYEN,AU,10.18.10.132,10.18.13.33
3318,3318,pr,ICBC,CN,10.69.127.116,10.69.62.225
3284,10.1.244.0,pr,Adyen,HK,10.1.26.68,10.1.28.65
3285,10.1.245.0,pr,Adyen,HK,10.1.26.84,10.1.28.81
3173,3173,pr,Ambank,MY,10.14.57.132,10.14.53.113
3275,3275,pr,ADYEN,AU,10.18.10.180,10.18.13.97
3350,10.1.1.0,pr,Octopus,HK,,
3203, 10.13.18.0,pr,BCA,ID,10.13.10.196,10.13.12.193
3202,10.13.19.0,pr,BCA,ID,10.13.10.180,10.13.12.177
3204,10.13.17.0,pr,BCA,ID,10.13.10.212,10.13.12.209
3322,10.29.236.0,pr,BDO,PH,10.29.20.228,10.29.24.241
3174,3174,pr,AMBANK,MY,10.14.57.148,10.14.53.129
3228,10.16.248.0,pr,ABA,KH,,
3325,10.10.10.0,pr,BBL,TH,10.10.60.28,10.10.52.49
3362,10.17.234.0,pr,NETS,SG,10.17.52.196,10.17.56.193
3277,3277,pr,DEPARTMENT STORE,KR,10.15.55.100,10.15.59.97
